,Neighborhood / Town,2015 Median Price,2014 Median Price,One-Year Change,2010 Median Price,Five-Year Change,2005 Median Price,Ten-Year Change,2015 Days on Market,2015 No. of Sales,2015 Best Schools Ranking
79,Malden,"$360,000","$325,000",11%,"$267,000",35%,"$360,000",0%,51.0,235.0,115.0
80,Manchester-by-the-Sea,"$799,000","$787,500",1%,"$739,000",8%,"$823,000",-3%,165.0,71.0,16.0
81,Mansfield,"$369,000","$395,000",-7%,"$356,250",4%,"$436,000",-15%,66.0,167.0,42.0
82,Marblehead,"$596,500","$590,000",1%,"$510,000",17%,"$584,000",2%,96.0,238.0,17.0
83,Marlborough,"$324,500","$307,000",6%,"$277,500",17%,"$365,000",-11%,79.0,246.0,98.0
84,Marshfield,"$393,500","$380,000",4%,"$379,000",4%,"$451,000",-13%,103.0,280.0,77.0
85,Maynard,"$338,000","$325,000",4%,"$297,500",14%,"$349,500",-3%,74.0,115.0,85.0
86,Medfield,"$671,500","$613,500",9%,"$573,500",17%,"$635,000",6%,80.0,159.0,12.0
87,Medford,"$463,500","$430,000",8%,"$350,000",32%,"$395,000",17%,42.0,296.0,83.0
88,Medway,"$405,000","$403,750",0%,"$339,450",19%,"$450,000",-10%,78.0,149.0,63.0
89,Melrose,"$504,325","$477,000",6%,"$406,650",24%,"$430,000",17%,42.0,238.0,78.0
90,Merrimac,"$334,839","$395,000",-15%,"$299,000",12%,"$372,500",-10%,93.0,76.0,54.0
91,Middleborough,"$275,000","$245,000",12%,"$243,000",13%,"$353,700",-22%,93.0,223.0,105.0
92,Middleton,"$602,000","$650,000",-7%,"$406,000",48%,"$556,500",8%,83.0,66.0,24.0
93,Milford,"$295,000","$278,000",6%,"$265,000",11%,"$365,000",-19%,75.0,227.0,91.0
94,Millis,"$381,000","$379,000",1%,"$310,000",23%,"$406,000",-6%,80.0,100.0,68.0
95,Milton,"$570,000","$545,000",5%,"$469,000",22%,"$472,000",21%,77.0,267.0,60.0
96,Nahant,"$577,000","$475,000",21%,"$485,000",19%,"$515,000",12%,128.0,38.0,40.0
97,Natick,"$555,000","$509,000",9%,"$400,000",39%,"$463,500",20%,59.0,339.0,50.0
98,Needham,"$867,500","$843,750",3%,"$665,000",30%,"$672,000",29%,71.0,336.0,22.0
99,Newbury,"$452,000","$445,000",2%,"$423,000",7%,"$455,000",-1%,141.0,83.0,54.0
100,Newburyport,"$535,000","$515,000",4%,"$426,200",26%,"$467,750",14%,79.0,192.0,27.0
101,Newton,"$1,117,600","$971,500",15%,"$744,150",50%,"$806,000",39%,62.0,600.0,10.0
102,Norfolk,"$493,500","$460,900",7%,"$427,500",15%,"$500,000",-1%,109.0,148.0,67.0
103,North Andover,"$537,450","$510,000",5%,"$479,753",12%,"$589,950",-9%,85.0,262.0,73.0
104,North Reading,"$488,500","$502,500",-3%,"$425,000",15%,"$530,500",-8%,54.0,160.0,48.0
105,Norton,"$321,750","$275,000",17%,"$265,000",21%,"$360,000",-11%,92.0,146.0,79.0
106,Norwell,"$607,500","$522,500",16%,"$531,000",14%,"$569,900",7%,120.0,158.0,32.0
107,Norwood,"$410,000","$399,500",3%,"$355,000",15%,"$406,000",1%,55.0,211.0,72.0
108,Peabody,"$366,750","$348,875",5%,"$295,000",24%,"$680,000",-46%,67.0,375.0,96.0
109,Pembroke,"$338,500","$330,000",3%,"$287,000",18%,"$369,900",-8%,103.0,196.0,95.0
110,Plainville,"$341,000","$354,000",-4%,"$363,438",-6%,"$375,500",-9%,79.0,73.0,67.0
111,Plymouth,"$329,000","$313,000",5%,"$281,750",17%,"$359,000",-8%,118.0,712.0,92.0
112,Plympton,"$370,000","$314,000",18%,"$312,500",18%,"$399,500",-7%,115.0,41.0,82.0
113,Raynham,"$324,000","$320,750",1%,"$272,621",19%,"$359,000",-10%,83.0,150.0,100.0
114,Quincy,"$393,000","$375,000",5%,"$320,000",23%,"$378,000",4%,62.0,501.0,89.0
115,Randolph,"$293,000","$261,000",12%,"$244,500",20%,"$347,500",-16%,58.0,295.0,108.0
116,Reading,"$518,500","$469,950",10%,"$422,000",23%,"$440,000",18%,42.0,248.0,55.0
117,Revere,"$330,000","$285,000",16%,"$233,000",42%,"$349,900",-6%,73.0,193.0,118.0
118,Rockland,"$277,000","$273,500",1%,"$258,000",7%,"$320,000",-13%,93.0,169.0,112.0
119,Rockport,"$531,250","$457,500",16%,"$405,000",31%,"$459,000",16%,136.0,78.0,34.0
120,Rowley,"$455,000","$444,450",2%,350000,30%,"$517,471",-12%,105.0,60.0,69.0
121,Salem,"$345,000","$345,000",0%,"$290,750",19%,"$349,000",-1%,82.0,217.0,101.0
122,Salisbury,"$340,000","$332,450",2%,"$266,500",28%,"$348,000",-2%,108.0,64.0,69.0
123,Saugus,"$339,900","$325,000",5%,"$299,900",13%,"$365,000",-7%,67.0,261.0,104.0
124,Scituate,"$499,125","$500,000",0%,"$450,000",11%,"$550,000",-9%,93.0,286.0,43.0
125,Sharon,"$508,000","$503,500",1%,"$395,000",29%,"$450,000",13%,72.0,192.0,11.0
126,Sherborn,"$749,000","$741,000",1%,"$744,500",1%,"$754,000",-1%,118.0,65.0,1.0
127,Somerville,"$725,000","$562,000",29%,"$402,500",80%,"$437,000",66%,39.0,84.0,107.0
128,Southborough,"$574,000","$595,000",-4%,"$559,000",3%,"$579,000",-1%,82.0,122.0,18.0
129,Stoneham,"$465,250","$423,995",10%,"$399,900",16%,"$426,000",9%,55.0,182.0,41.0
130,Stoughton,"$313,500","$311,000",1%,"$297,500",5%,"$352,750",-11%,71.0,248.0,80.0
131,Stow,"$465,000","$475,000",-2%,"$453,000",3%,"$510,000",-9%,104.0,67.0,29.0
132,Sudbury,"$685,000","$701,000",-2%,"$639,000",7%,"$745,000",-8%,102.0,251.0,13.0
133,Swampscott,"$460,000","$440,000",5%,"$437,500",5%,"$519,300",-11%,91.0,183.0,40.0
134,Taunton,"$250,000","$235,000",6%,"$225,000",11%,"$310,000",-19%,91.0,402.0,119.0
135,Tewksbury,"$374,000","$352,000",6%,"$305,000",23%,"$380,000",-2%,63.0,159.0,87.0
136,Topsfield,"$513,125","$564,500",-9%,"$443,000",16%,"$532,890",-4%,98.0,76.0,24.0
137,Wakefield,"$463,500","$435,500",6%,"$372,000",25%,"$425,000",9%,49.0,218.0,66.0
138,Walpole,"$505,000","$441,000",15%,"$360,000",40%,"$450,000",12%,74.0,236.0,58.0
139,Waltham,"$476,000","$457,250",4%,"$390,000",22%,"$435,000",9%,51.0,358.0,84.0
140,Watertown,"$560,000","$535,000",5%,"$471,000",19%,"$488,250",15%,37.0,87.0,65.0
141,Wayland,"$705,000","$684,000",3%,"$565,000",25%,"$602,000",17%,89.0,183.0,4.0
142,Wellesley,"$1,234,250","$1,225,000",1%,"$937,500",32%,"$1,010,000",22%,78.0,328.0,8.0
143,Wenham,"$517,500","$585,000",-12%,"$479,450",8%,"$539,950",-4%,133.0,56.0,23.0
144,West Bridgewater,"$296,500","$304,950",-3%,"$255,000",16%,"$349,900",-15%,102.0,84.0,75.0
145,West Newbury,"$535,000","$520,450",3%,"$386,000",39%,"$494,950",8%,122.0,63.0,54.0
146,Westford,"$488,750","$521,750",-6%,"$465,000",5%,"$515,000",-5%,71.0,215.0,19.0
147,Weston,"$1,480,000","$1,395,000",6%,"$1,091,500",36%,"$1,272,400",16%,142.0,145.0,2.0
148,Westwood,"$659,000","$627,500",5%,"$535,000",23%,"$614,950",7%,77.0,169.0,21.0
149,Weymouth,"$336,000","$325,000",3%,"$295,000",14%,"$345,000",-3%,62.0,521.0,106.0
150,Whitman,"$288,500","$270,000",7%,"$248,000",16%,"$322,000",-10%,58.0,130.0,110.0
151,Wilmington,"$438,500","$398,000",10%,"$360,000",22%,"$417,500",5%,57.0,219.0,61.0
152,Winchester,"$950,250","$920,000",3%,"$697,250",36%,"$739,500",28%,55.0,240.0,15.0
153,Winthrop,"$375,000","$327,000",15%,"$310,500",21%,"$380,000",-1%,71.0,89.0,99.0
154,Woburn,"$415,000","$388,500",7%,"$320,000",30%,"$397,750",4%,93.0,321.0,86.0
155,Wrentham,"$447,000","$433,000",3%,"$370,750",21%,"$440,000",2%,106.0,147.0,67.0
