,Neighborhood / Town,2016 Median Price,2015 Median Price,2011 Median Price,2006 Median Price,One-Year Change,Five-Year Change,Ten-Year Change,2016 Days on Market,2015 Days on Market,One-Year Change.1,2016 No. of Sales,2015 No. of Sales,One-Year Change.2
98,Needham,"$912,000","$867,500","$690,000","$662,000",5%,32%,38%,65,71.0,-8%,333.0,336.0,-1%
99,Newbury,"$472,500","$452,000","$417,500","$490,000",5%,13%,-4%,108,141.0,-23%,88.0,83.0,6%
100,Newburyport,"$539,900","$535,000","$437,500","$464,000",1%,23%,16%,90,79.0,14%,199.0,192.0,4%
101,Newton,"$1,100,000","$1,117,600","$760,000","$750,000",-2%,45%,47%,52,62.0,-16%,547.0,600.0,-9%
102,Norfolk,"$520,000","$493,500","$440,000","$460,000",5%,18%,13%,107,109.0,-2%,160.0,148.0,8%
103,North Andover,"$540,000","$537,450","$475,000","$518,000",0%,14%,4%,77,85.0,-9%,261.0,262.0,0%
104,North Reading,"$522,500","$488,500","$410,000","$446,250",7%,27%,17%,63,54.0,17%,178.0,160.0,11%
105,Norton,"$344,250","$321,750","$264,500","$360,000",7%,30%,-4%,70,92.0,-24%,192.0,146.0,32%
106,Norwell,"$630,000","$607,500","$535,000","$602,500",4%,18%,5%,112,120.0,-7%,165.0,158.0,4%
107,Norwood,"$425,000","$410,000","$339,500","$394,250",4%,25%,8%,50,55.0,-9%,216.0,211.0,2%
108,Peabody,"$390,000","$366,750","$297,500","$368,000",6%,31%,6%,51,67.0,-24%,351.0,375.0,-6%
109,Pembroke,"$366,750","$338,500","$304,000","$360,000",8%,21%,2%,72,103.0,-30%,206.0,196.0,5%
110,Plainville,"$370,000","$341,000","$330,000","$373,000",9%,12%,-1%,96,79.0,22%,81.0,73.0,11%
111,Plymouth,"$330,000","$329,663","$274,000","$340,000",0%,20%,-3%,101,118.0,-14%,821.0,712.0,15%
112,Plympton,"$379,000","$370,000","$290,000","$432,000",2%,31%,-12%,89,115.0,-23%,37.0,41.0,-10%
113,Quincy,"$420,000","$393,000","$302,000","$360,000",7%,39%,17%,59,62.0,-5%,461.0,501.0,-8%
114,Randolph,"$311,000","$293,000","$221,500","$330,000",6%,40%,-6%,59,58.0,2%,290.0,295.0,-2%
115,Raynham,"$370,000","$324,450","$297,500","$370,000",14%,24%,0%,122,83.0,47%,115.0,150.0,-23%
116,Reading,"$525,000","$518,500","$443,214","$424,900",1%,18%,24%,43,42.0,2%,220.0,248.0,-11%
117,Revere,"$355,000","$330,000","$225,000","$340,000",8%,58%,4%,56,73.0,-23%,215.0,193.0,11%
118,Rockland,"$282,000","$277,000","$218,500","$305,000",2%,29%,-8%,58,93.0,-38%,137.0,169.0,-19%
119,Rockport,"$479,000","$531,250","$500,000","$495,000",-10%,-4%,-3%,107,136.0,-21%,73.0,78.0,-6%
120,Rowley,"$440,000","$455,000","$388,750","$534,000",-3%,13%,-18%,93,105.0,-11%,49.0,60.0,-18%
121,Salem,"$365,000","$345,000","$265,000","$325,000",6%,38%,12%,64,82.0,-22%,251.0,217.0,16%
122,Salisbury,"$318,000","$340,000","$243,500","$353,000",-6%,31%,-10%,108,108.0,0%,78.0,64.0,22%
123,Saugus,"$377,500","$339,900","$275,000","$349,000",11%,37%,8%,56,67.0,-16%,278.0,261.0,7%
124,Scituate,"$515,000","$499,125","$462,000","$487,500",3%,11%,6%,90,93.0,-3%,286.0,286.0,0%
125,Sharon,"$510,000","$508,000","$400,000","$440,500",0%,28%,16%,73,72.0,1%,217.0,192.0,13%
126,Sherborn,"$745,500","$749,000","$727,500","$827,500",0%,2%,-10%,131,118.0,11%,92.0,65.0,42%
127,Somerville,"$718,500","$725,000","$486,500","$430,000",-1%,48%,67%,46,39.0,18%,86.0,84.0,2%
128,Southborough,"$550,000","$574,200","$485,000","$593,500",-4%,13%,-7%,92,82.0,12%,125.0,122.0,2%
129,Stoneham,"$489,500","$465,250","$360,000","$405,000",5%,36%,21%,48,55.0,-13%,186.0,182.0,2%
130,Stoughton,"$340,000","$313,500","$249,900","$345,000",8%,36%,-1%,63,71.0,-11%,277.0,248.0,12%
131,Stow,"$506,000","$465,000","$473,775","$517,425",9%,7%,-2%,102,104.0,-2%,92.0,67.0,37%
132,Sudbury,"$700,000","$685,000","$625,000","$675,000",2%,12%,4%,92,102.0,-10%,252.0,251.0,0%
133,Swampscott,"$481,750","$460,000","$357,500","$440,000",5%,35%,9%,101,91.0,11%,157.0,183.0,-14%
134,Taunton,"$273,500","$250,000","$210,000","$299,450",9%,30%,-9%,72,91.0,-21%,494.0,402.0,23%
135,Tewksbury,"$388,000","$374,000","$311,000","$368,000",4%,25%,5%,54,63.0,-14%,279.0,159.0,75%
136,Topsfield,"$610,000","$513,125","$465,000","$566,250",19%,31%,8%,82,98.0,-16%,77.0,76.0,1%
137,Wakefield,"$485,000","$463,500","$677,988","$395,000",5%,-28%,23%,48,49.0,-2%,230.0,218.0,6%
138,Walpole,"$470,000","$505,000","$422,450","$415,000",-7%,11%,13%,68,74.0,-8%,251.0,236.0,6%
139,Waltham,"$525,000","$476,000","$375,000","$420,000",10%,40%,25%,42,51.0,-18%,376.0,358.0,5%
140,Watertown,"$621,000","$560,000","$432,500","$466,700",11%,44%,33%,33,37.0,-11%,95.0,87.0,9%
141,Wayland,"$720,000","$705,000","$560,000","$568,000",2%,29%,27%,78,89.0,-12%,198.0,183.0,8%
142,Wellesley,"$1,290,000","$1,234,250","$1,000,000","$971,000",5%,29%,33%,92,78.0,18%,327.0,328.0,0%
143,Wenham,"$563,000","$517,500","$422,500","$725,000",9%,33%,-22%,121,133.0,-9%,54.0,56.0,-4%
144,West Bridgewater,"$305,000","$296,500","$264,000","$325,000",3%,16%,-6%,69,102.0,-32%,97.0,84.0,15%
145,West Newbury,"$569,000","$535,000","$449,500","$605,000",6%,27%,-6%,105,122.0,-14%,63.0,63.0,0%
146,Westford,"$501,250","$488,750","$467,750","$466,500",3%,7%,7%,69,71.0,-3%,211.0,215.0,-2%
147,Weston,"$1,440,000","$1,480,000","$1,150,000","$1,247,000",-3%,25%,15%,145,142.0,2%,140.0,145.0,-3%
148,Westwood,"$668,500","$659,000","$527,450","$550,000",1%,27%,22%,83,77.0,8%,175.0,169.0,4%
149,Weymouth,"$355,000","$336,000","$270,000","$335,000",6%,31%,6%,52,62.0,-16%,587.0,521.0,13%
150,Whitman,"$324,500","$288,500","$233,000","$319,450",12%,39%,2%,72,58.0,24%,158.0,130.0,22%
151,Wilmington,"$440,000","$438,500","$338,000","$411,500",0%,30%,7%,58,57.0,2%,244.0,219.0,11%
152,Winchester,"$1,062,500","$950,250","$720,000","$735,500",12%,48%,44%,56,55.0,2%,228.0,240.0,-5%
153,Winthrop,"$415,000","$375,000","$305,000","$369,250",11%,36%,12%,51,71.0,-28%,79.0,89.0,-11%
154,Woburn,"$430,000","$415,000","$315,000","$368,000",4%,37%,17%,65,93.0,-30%,279.0,321.0,-13%
155,Wrentham,"$470,000","$447,000","$395,000","$480,000",5%,19%,-2%,93,106.0,-12%,143.0,147.0,-3%
