,Town,Median Price: 2017,Median Price: 2016,Percent Change in Price: One-Year,Percent Change in Price: Five-Year,Percent Change in Price: Ten-Year,Days on Market: 2017,Days on Market: 2016,Days on Market: One-Year Change
88,Nahant,"$674,500","$535,000",26%,301%,23%,103,142,-27%
89,Natick,"$600,000","$553,500",8%,37%,37%,46,58,-21%
90,Needham,"$989,018","$912,000",8%,42%,58%,56,65,-14%
91,Newbury,"$495,000","$472,500",5%,18%,8%,65,108,-40%
92,Newburyport,"$627,500","$539,900",16%,41%,38%,76,90,-16%
93,Newton,"$1,200,000","$1,100,000",9%,49%,54%,47,52,-10%
94,Norfolk,"$555,000","$520,000",7%,39%,30%,73,107,-32%
95,North Andover,"$570,000","$540,000",6%,20%,16%,55,77,-29%
96,North Attleboro,"$374,000","$349,900",-7%,-27%,4%,64,88,-27%
97,North Reading,"$548,000","$522,500",5%,33%,37%,49,63,-22%
98,Norton,"$369,900","$344,250",7%,55%,12%,54,70,-23%
99,Norwell,"$669,000","$630,000",6%,35%,18%,83,112,-26%
100,Norwood,"$440,000","$425,000",4%,34%,18%,43,50,-14%
101,Peabody,"$414,000","$390,000",6%,35%,18%,37,51,-27%
102,Pembroke,"$370,000","$366,750",1%,23%,5%,54,72,-25%
103,Pepperell,"$375,000","$349,900",7%,51%,16%,69,103,-33%
104,Plainville,"$421,025","$370,000",14%,44%,16%,58,96,-40%
105,Plymouth,"$350,000","$330,000",6%,25%,9%,87,101,-14%
106,Plympton,"$400,000","$379,000",6%,30%,15%,85,89,-4%
107,Quincy,"$450,000","$420,000",7%,45%,31%,49,59,-17%
108,Randolph,"$352,260","$311,000",13%,62%,16%,42,59,-29%
109,Raynham,"$376,500","$370,000",2%,37%,10%,67,122,-45%
110,Reading,"$597,500","$525,000",14%,42%,47%,31,43,-28%
111,Revere,"$376,500","$355,000",6%,58%,25%,42,56,-25%
112,Rockland,"$318,000","$282,000",13%,35%,6%,32,58,-45%
113,Rockport,"$558,750","$479,000",17%,23%,18%,88,107,-18%
114,Rowley,"$511,500","$440,000",16%,30%,7%,65,93,-30%
115,Salem,"$381,750","$365,000",5%,47%,23%,42,64,-34%
116,Salisbury,"$370,000","$318,000",16%,51%,16%,61,108,-44%
117,Saugus,"$415,000","$377,500",10%,49%,25%,35,56,-38%
118,Scituate,"$576,500","$515,000",12%,32%,13%,97,90,8%
119,Sharon,"$515,900","$510,000",1%,24%,21%,60,73,-18%
120,Sherborn,"$825,000","$745,500",11%,24%,24%,114,131,-13%
121,Shirley,"$386,950","$320,000",21%,36%,-2%,78,107,-27%
122,Somerville,"$733,750","$718,500",2%,57%,63%,28,46,-39%
123,Southboro,"$570,000","$550,000",4%,22%,8%,69,92,-25%
124,Stoneham,"$537,500","$489,500",10%,43%,33%,41,48,-15%
125,Stoughton,"$372,000","$340,000",9%,38%,10%,40,63,-37%
126,Stow,"$520,000","$506,000",3%,22%,7%,67,102,-34%
127,Sudbury,"$735,000","$700,000",5%,20%,12%,76,92,-17%
128,Swampscott,"$530,000","$481,750",10%,37%,18%,57,101,-44%
129,Taunton,"$285,000","$273,500",4%,27%,4%,46,72,-36%
130,Tewksbury,"$425,000","$388,000",10%,37%,21%,36,54,-33%
131,Topsfield,"$600,000","$610,000",-2%,19%,15%,78,82,-5%
132,Townsend,"$288,000","$256,900",12%,37%,5%,69,98,-30%
133,Tyngsborough,"$399,000","$375,000",6%,33%,-6%,61,92,-34%
134,Wakefield,"$520,000","$485,000",7%,33%,31%,35,48,-27%
135,Walpole,"$492,000","$470,000",5%,30%,17%,45,68,-34%
136,Waltham,"$582,000","$525,000",11%,49%,43%,34,42,-19%
137,Watertown,"$644,500","$621,000",4%,52%,40%,26,33,-21%
138,Wayland,"$700,000","$720,000",-3%,30%,17%,63,78,-19%
139,Wellesley,"$1,380,000","$1,290,000",7%,44%,44%,93,92,1%
140,Wenham,"$545,000","$563,000",-3%,3%,-1%,59,121,-51%
141,West Bridgewater,"$366,000","$305,000",20%,56%,19%,60,69,-13%
142,West Newbury,"$552,450","$569,000",-3%,24%,4%,88,105,-16%
143,Westford,"$565,000","$501,250",13%,29%,15%,65,69,-6%
144,Weston,"$1,395,000","$1,440,000",-3%,7%,8%,137,145,-6%
145,Westwood,"$727,500","$668,500",9%,30%,32%,74,83,-11%
146,Weymouth,"$395,000","$355,000",11%,44%,20%,43,52,-17%
147,Whitman,"$331,450","$324,500",2%,44%,9%,36,72,-50%
148,Wilmington,"$490,500","$440,000",11%,36%,27%,43,58,-26%
149,Winchester,"$1,100,000","$1,062,500",4%,56%,63%,51,56,-9%
150,Winthrop,"$475,000","$415,000",14%,62%,41%,36,51,-29%
151,Woburn,"$472,500","$430,000",10%,43%,33%,37,65,-43%
152,Wrentham,"$478,000","$470,000",2%,28%,2%,79,93,-15%
