,Unnamed: 0,2013 Median Price,2012 Median Price,One-Year Change,2008 Median Price,Five-Year Change,2003 Median Price,10-Year Change,2013 Days on Market,2012 Days on Market,One-Year Change.1
113,Sherborn,"$740,000","$660,000",12%,"$710,000",4%,"$732,250",1%,139,240,-42%
114,Somerville,"$540,000","$448,250",20%,"$391,000",38%,"$372,000",45%,33,64,-48%
115,Southborough,"$500,000","$430,000",16%,"$520,000",-4%,"$529,000",-5%,110,126,-13%
116,Stoneham,"$400,000","$370,000",8%,"$385,000",4%,"$375,000",7%,53,86,-38%
117,Stoughton,"$293,000","$269,900",9%,"$288,660",2%,"$320,000",-8%,73,94,-22%
118,Stow,"$436,000","$425,000",3%,"$463,250",-6%,"$425,000",3%,95,160,-41%
119,Sudbury,"$675,000","$610,500",11%,"$600,000",13%,"$614,650",10%,100,140,-29%
120,Swampscott,"$425,000","$388,000",10%,"$415,000",2%,"$413,750",3%,99,151,-34%
121,Taunton,"$224,950","$215,000",5%,"$249,500",-10%,"$260,000",-13%,96,115,-17%
122,Tewksbury,"$317,000","$292,500",8%,"$319,000",-1%,"$329,900",-4%,73,113,-35%
123,Topsfield,"$477,500","$462,000",3%,"$479,000",0%,"$531,500",-10%,110,154,-29%
124,Wakefield,"$406,000","$380,168",7%,"$378,000",7%,"$385,000",5%,51,83,-39%
125,Walpole,"$419,000","$366,750",14%,"$381,800",10%,"$376,000",11%,77,106,-27%
126,Waltham,"$424,800","$376,500",13%,"$393,900",8%,"$371,000",15%,49,93,-47%
127,Watertown,"$462,000","$422,000",9%,"$420,000",10%,"$422,500",9%,44,59,-25%
128,Wayland,"$597,000","$533,000",12%,"$505,000",18%,"$535,000",12%,78,139,-44%
129,Wellesley,"$1,068,750","$897,700",19%,"$1,010,000",6%,"$759,750",41%,81,118,-31%
130,Wenham,"$486,500","$544,250",-11%,"$453,500",7%,"$582,000",-16%,91,196,-54%
131,West Bridgewater,"$282,000","$235,000",20%,"$277,550",2%,"$296,450",-5%,98,141,-31%
132,West Newbury,"$434,000","$412,000",5%,"$440,000",-1%,"$540,250",-20%,119,140,-15%
133,Westford,"$460,000","$433,250",6%,"$410,000",12%,"$420,000",10%,113,118,-4%
134,Weston,"$1,231,500","$1,250,000",-1%,"$1,360,000",-9%,"$1,073,438",15%,115,141,-18%
135,Westwood,"$610,000","$534,250",14%,"$505,000",21%,"$499,950",22%,67,125,-46%
136,Weymouth,"$290,000","$270,050",7%,"$295,000",-2%,"$302,400",-4%,70,110,-36%
137,Whitman,"$244,472","$226,500",8%,"$253,925",-4%,"$275,500",-11%,81,125,-35%
138,Wilmington,"$365,000","$341,250",7%,"$345,000",6%,"$354,000",3%,59,118,-50%
139,Winchester,"$825,000","$700,000",18%,"$722,500",14%,"$687,000",20%,59,98,-40%
140,Winthrop,"$325,000","$292,000",11%,"$330,000",-2%,"$350,000",-7%,100,94,6%
141,Woburn,"$358,000","$320,083",12%,"$330,000",8%,"$341,000",5%,74,99,-25%
142,Wrentham,"$412,500","$322,500",28%,"$410,000",1%,"$369,900",12%,100,127,-21%
