,Town,2014 Median Price,2013 Median Price,One-Year Change,Five-Year Change,10-Year Change,2014 Days on Market,2014 Number of Sales
110,Norwell,"$506,750","$573,200",-11.6%,-1.3%,-9.5%,122.0,142.0
111,Norwood,"$381,250","$360,000",5.9%,10.0%,-1.0%,63.0,220.0
112,Peabody,"$341,000","$320,000",6.6%,15.6%,-7.7%,64.0,360.0
113,Pembroke,"$309,900","$320,000",-3.2%,5.1%,-11.5%,93.0,193.0
114,Plainville,"$351,000","$350,000",0.3%,15.3%,-4.9%,76.0,68.0
115,Plymouth,"$309,900","$287,838",7.7%,10.4%,-7.4%,125.0,624.0
116,Plympton,"$295,000","$315,000",-6.3%,5.4%,-26.3%,125.0,43.0
117,Quincy,"$375,000","$348,000",7.8%,17.2%,5.6%,62.0,547.0
118,Randolph,"$255,000","$240,000",6.3%,13.3%,-19.0%,74.0,268.0
119,Raynham,"$307,500","$270,550",13.7%,-2.9%,-11.9%,113.0,110.0
120,Reading,"$475,000","$460,000",3.3%,18.8%,12.8%,42.0,258.0
121,Revere,"$284,000","$255,000",11.4%,29.1%,-11.3%,72.0,177.0
122,Rockland,"$268,000","$235,000",14.0%,5.5%,-14.9%,104.0,135.0
123,Rockport,"$425,000","$440,000",-3.4%,11.3%,-5.0%,134.0,68.0
124,Rowley,"$400,000","$387,900",3.1%,-4.8%,2.6%,83.0,47.0
125,Salem,"$327,500","$300,000",9.2%,17.0%,0.8%,91.0,186.0
126,Salisbury,"$299,500","$284,500",5.3%,8.5%,-8.1%,94.0,56.0
127,Saugus,"$321,000","$295,000",8.8%,16.7%,-7.8%,78.0,209.0
128,Scituate,"$490,500","$461,000",6.4%,18.9%,-4.8%,113.0,254.0
129,Sharon,"$488,425","$469,950",3.9%,31.1%,13.5%,62.0,214.0
130,Sherborn,"$745,000","$745,000",0.0%,18.4%,0.9%,115.0,53.0
131,Somerville,"$545,000","$544,350",0.1%,46.3%,39.8%,51.0,93.0
132,Southborough,"$580,000","$485,000",19.6%,46.8%,13.0%,79.0,115.0
133,Stoneham,"$415,000","$400,000",3.8%,14.7%,5.1%,67.0,190.0
134,Stoughton,"$305,500","$292,500",4.4%,17.5%,-12.7%,69.0,226.0
135,Stow,"$446,000","$435,500",2.4%,15.1%,0.8%,93.0,92.0
136,Sudbury,"$685,000","$675,000",1.5%,18.7%,6.2%,97.0,247.0
137,Swampscott,"$439,000","$425,000",3.3%,11.0%,-2.0%,91.0,145.0
138,Taunton,"$229,700","$225,000",2.1%,3.0%,-20.8%,111.0,294.0
139,Tewksbury,"$342,000","$317,000",7.9%,10.3%,-3.5%,74.0,283.0
140,Topsfield,"$559,500","$477,500",17.2%,26.2%,2.7%,139.0,68.0
141,Wakefield,"$427,750","$407,500",5.0%,12.6%,6.9%,45.0,256.0
142,Walpole,"$434,500","$419,000",3.7%,20.0%,6.4%,78.0,256.0
143,Waltham,"$449,450","$424,400",5.9%,15.8%,11.0%,44.0,396.0
144,Watertown,"$528,000","$462,000",14.3%,28.8%,12.3%,38.0,104.0
145,Wayland,"$624,120","$598,500",4.3%,22.4%,9.5%,69.0,146.0
146,Wellesley,"$1,180,000","$1,068,750",10.4%,37.8%,34.1%,85.0,357.0
147,Wenham,"$571,000","$486,500",17.4%,3.8%,4.8%,117.0,31.0
148,West Bridgewater,"$270,000","$293,500",-8.0%,6.1%,-18.2%,97.0,69.0
149,West Newbury,"$483,000","$434,000",11.3%,8.4%,3.4%,136.0,49.0
150,Westford,"$492,500","$461,000",6.8%,17.5%,6.1%,83.0,210.0
151,Weston,"$1,349,000","$1,230,000",9.7%,11.7%,7.9%,100.0,156.0
152,Westwood,"$608,600","$610,000",-0.2%,16.8%,11.2%,66.0,184.0
153,Weymouth,"$317,000","$290,000",9.3%,13.2%,-3.9%,76.0,461.0
154,Whitman,"$264,450","$245,000",7.9%,-1.0%,-11.9%,93.0,127.0
155,Wilmington,"$375,000","$365,000",2.7%,11.9%,4.2%,62.0,263.0
156,Winchester,"$905,000","$825,000",9.7%,27.5%,32.1%,53.0,231.0
157,Winthrop,"$329,000","$325,000",1.2%,9.8%,-11.1%,75.0,80.0
158,Woburn,"$374,950","$358,000",4.7%,14.5%,2.7%,60.0,264.0
159,Wrentham,"$412,500","$412,500",0.0%,1.9%,-6.3%,111.0,136.0
